[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | SQL: SELECT `menu_id`,`menu_title`,`pid`,`func_name` FROM `cms_admin_menu` WHERE ( `status` = '1' ) AND ( `level` = '3' ) ORDER BY sort ASC  [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = '1' ) AND ( `level` = '2' ) AND ( `menu_id` IN ('6','152','152','162','162','162','162','162','162','162','170','170','170','170','135','152','152','132','135','138','138','138','138','138','145','145','148','148','148','152','148','132','181','181','181','204','206','208','210','212','214','214','214','214','219','221','224','227','230','201','25','181','181','183','185','185','185','189','189','192','194','194','194','194','135','230','4','42','42','42','42','49','49','52','52','52','56','63','63','68','68','42','36','63','63','6','25','4','4','6','5','5','6','36','36','36','36','68','68','68','121','121','121','105','105','105','105','105','116','125','125','125','130','132','118','118','74','74','74','74','74','5','5','4','4','4','88','88','88','88','135') ) ORDER BY sort ASC  [ RunTime:0.031250s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `status` = '1' ) AND ( `level` = '1' ) AND ( `menu_id` IN ('35','1','203','182','129','3','226','48','10','104','134','229') ) ORDER BY sort ASC  [ RunTime:0.046875s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | INFO: Tag[ view_template ] --START--
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | INFO: Tag[ view_parse ] --START--
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | NOTIC: [8] Undefined variable: arr 32ab8e8c53f1d3a4ec4914ac5a4844a9.php 第 16 行.
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | INFO: Run ParseTemplate Behavior [ RunTime:0.062500s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | INFO: Tag[ view_parse ] --END-- [ RunTime:0.062500s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | INFO: Tag[ view_filter ] --START--
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | INFO: Run ContentReplace Behavior [ RunTime:0.015625s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | INFO: Run ShowRuntime Behavior [ RunTime:0.015625s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | INFO: Tag[ view_filter ] --END-- [ RunTime:0.031250s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | INFO: Tag[ view_end ] --START--
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2015-09-24T21:19:57+08:00 ] /admin.php/shop/index | INFO: Tag[ route_check ] --START--
[ 2015-09-24T21:19:57+08:00 ] /admin.php/shop/index | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:57+08:00 ] /admin.php/shop/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2015-09-24T21:19:57+08:00 ] /admin.php/shop/index | INFO: Tag[ app_begin ] --START--
[ 2015-09-24T21:19:57+08:00 ] /admin.php/shop/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:57+08:00 ] /admin.php/shop/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2015-09-24T21:19:57+08:00 ] /admin.php/shop/index | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 149 行.
[ 2015-09-24T21:19:57+08:00 ] /admin.php/shop/index | NOTIC: [8192] mysql_escape_string(): This function is deprecated; use mysql_real_escape_string() instead. DbMysql.class.php 第 409 行.
[ 2015-09-24T21:19:57+08:00 ] /admin.php/shop/index | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Shop' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:57+08:00 ] /admin.php/shop/index | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = '229' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:57+08:00 ] /admin.php/shop/index | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:57+08:00 ] /admin.php/shop/index | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 154 行.
[ 2015-09-24T21:19:57+08:00 ] /admin.php/shop/index | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Shop' ) LIMIT 1   [ RunTime:0.000000s ]
